,type,fixed acidity,volatile acidity_big,citric acid_big,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,CpH-103,CpH-101,CpH-102,sulphates,alcohol,quality,pH_bup,sulphates_bup,alcohol_bup,quality_re,type_2,type_of_coluor,quality_re.1,type_dubl,type_of_coluor.1,the_state_manufacturing ,city,manfacutuered_name ,Quantity
0,white,7,270000,360000,20.7,0.045,45,170,1.001,3,3,3,0.45,8.8,6,8.9,10.635,12.37,14.105,greeen ,greeen ,15.105,greeen ,greeen ,Argentina,Buenos Aires ,�CONSTELLATION BRANDS,10000
1,white,6.3,300000,340000,1.6,0.049,14,132,0.994,3,3.3,3.3,0.49,9.5,6,9.1,10.811,12.522,14.233,yellow ,yellow ,15.233,yellow ,yellow ,France,paris,�THE WINE GROUP,10000
2,white,8.1,280000,400000,6.9,0.05,30,97,0.9951,3,3.26,3.26,0.44,10.1,6,9.42,11.208,12.996,14.784,brown ,brown ,15.784,brown ,brown ,Argentina,Buenos Aires,�E & J GALLO,10000
3,white,7.2,230000,320000,8.5,0.058,47,186,0.9956,3,3.19,3.19,0.4,9.9,6,9.355,11.148,12.941,14.734,red,red,15.734,white,red,England ,mancity,�E & J GALLO,10000
4,white,7.2,230000,320000,8.5,0.058,47,186,0.9956,3,3.19,3.19,0.4,9.9,6,9.355,11.148,12.941,14.734,black,black,15.734,white,black,USA,"Washington, D.C.",�E & J GALLO,10000
5,white,8.1,280000,400000,6.9,0.05,30,97,0.9951,3,3.26,3.26,0.44,10.1,6,9.42,11.208,12.996,14.784,gray,gray,15.784,white,gray,England ,Buenos Aires ,�E & J GALLO,10000
6,white,6.2,320000,160000,7,0.045,30,136,0.9949,3,3.18,3.18,0.47,9.6,6,9.21,10.969,12.728,14.487,greeen ,greeen ,15.487,white,greeen ,England ,paris,�E & J GALLO,10000
7,white,7,270000,360000,20.7,0.045,45,170,1.001,3,3,3,0.45,8.8,6,8.9,10.635,12.37,14.105,yellow ,yellow ,15.105,white,yellow ,England ,Buenos Aires,�E & J GALLO,10000
8,white,6.3,300000,340000,1.6,0.049,14,132,0.994,3,3.3,3.3,0.49,9.5,6,9.1,10.811,12.522,14.233,brown ,brown ,15.233,white,brown ,England ,mancity,TREASURY WINE ESTATE,10000
9,white,8.1,220000,430000,1.5,0.044,28,129,0.9938,3,3.22,3.22,0.45,11,6,9.89,11.779,13.668,15.557,red,red,16.557,white,red,England ,"Washington, D.C.",TREASURY WINE ESTATE,10000
10,white,8.1,270000,410000,1.45,0.033,11,63,0.9908,3,2.99,2.99,0.56,12,5,9.505,11.252,12.999,14.746,black,black,15.746,white,black,England ,Buenos Aires ,TREASURY WINE ESTATE,10000
11,white,8.6,230000,400000,4.2,0.035,17,109,0.9947,3.47,3.14,3.14,0.53,9.7,5,8.28,9.755,11.23,12.705,gray,gray,13.705,white,gray,England ,paris,�THE WINE GROUP,10000
12,white,7.9,180000,370000,1.2,0.04,16,75,0.992,3.47,3.18,3.18,0.63,10.8,5,8.81,10.373,11.936,13.499,greeen ,greeen ,14.499,white,greeen ,England ,Buenos Aires,�THE WINE GROUP,10000
13,white,6.6,160000,400000,1.5,0.044,48,143,0.9912,3.47,3.54,3.54,0.52,12.4,7,11.43,13.656,15.882,18.108,yellow ,yellow ,19.108,white,yellow ,England ,mancity,�THE WINE GROUP,10000
14,white,8.3,420000,620000,19.25,0.04,41,172,1.0002,3.47,2.98,2.98,0.67,9.7,5,8.36,9.869,11.378,12.887,brown ,brown ,13.887,white,brown ,England ,"Washington, D.C.",�THE WINE GROUP,10000
15,white,6.6,170000,380000,1.5,0.032,28,112,0.9914,3.47,3.25,3.25,0.55,11.4,7,11.075,13.285,15.495,17.705,red,red,18.705,white,red,France,Buenos Aires ,�THE WINE GROUP,10000
